,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
,Strength,LowerBack, Glutes Hamstrings,Other,Isolation,Beginner,No,Pull
,Stretching,Abductors,0,FoamRoll,Isolation,Intermediate,No,Static
,Strength,MiddleBack, Lats Shoulders,Barbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders,Cable,Isolation,Intermediate,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Beginner,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Stretching,Hamstrings,0,Other,Isolation,Intermediate,No,Static
,Strength,Shoulders,0,Bands,Isolation,Beginner,No,N/A
,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
,Stretching,Quadriceps,0,None,Compound,Intermediate,No,Pull
,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Stretching,Abductors,0,FoamRoll,Isolation,Intermediate,No,Static
,Strength,MiddleBack, Lats Shoulders,Barbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders,Cable,Isolation,Intermediate,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Beginner,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Stretching,Hamstrings,0,Other,Isolation,Intermediate,No,Static
,Strength,Shoulders,0,Bands,Isolation,Beginner,No,N/A
,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
,Stretching,Quadriceps,0,None,Compound,Intermediate,No,Pull
,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Push
,OlympicWeightlifting,Quadriceps, Abdominals Calves,Barbell,Compound,Intermediate,No,Push
,Cardio,Quadriceps, Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Push
,OlympicWeightlifting,Quadriceps, Abdominals Calves,Barbell,Compound,Intermediate,No,Push
,Cardio,Quadriceps, Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Strongman,LowerBack, Abdominals Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Abdominals Calves Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
,Stretching,Calves, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Stretching,Forearms,0,None,Isolation,Beginner,No,Static
,Stretching,Quadriceps, Quadriceps,None,Isolation,Beginner,No,Static
,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
,Strongman,LowerBack, Abdominals Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Hamstrings, Calves Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Abdominals Calves Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
,Stretching,Calves, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Pull
,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Stretching,Forearms,0,None,Isolation,Beginner,No,Static
,Stretching,Quadriceps, Quadriceps,None,Isolation,Beginner,No,Static
,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
,Strength,Abdominals, Glutes LowerBack Shoulders,Barbell,Compound,Beginner,No,Pull
,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
,Stretching,Lats,0,FoamRoll,Isolation,Beginner,No,Static
,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Push
,Strength,Quadriceps, Glutes Hamstrings,Machine,Compound,Beginner,No,Pull
,Strength,MiddleBack, Lats,Machine,Compound,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Machine,Compound,Beginner,No,Pull
,Strength,Traps, Forearms,Machine,Isolation,Beginner,No,Pull
,Plyometrics,Hamstrings, Calves Glutes Quadriceps,None,Compound,Beginner,Both,No
,Strongman,Shoulders, Abdominals Chest Glutes Hamstrings LowerBack MiddleBack Quadriceps Traps Triceps,Other,Compound,Intermediate,Yes,Push
,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Stretching,Abdominals,0,BodyOnly,N/A,Beginner,No,Static
,Strength,Hamstrings, Calves Glutes Quadriceps,Kettlebells,Compound,Intermediate,No,Push
,Stretching,Adductors,0,Other,N/A,Expert,No,Static
,Strength,MiddleBack, Biceps Lats Traps,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Barbell,Isolation,Intermediate,No,Push
,Stretching,Abductors,0,BodyOnly,N/A,Expert,No,Static
,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
,Stretching,Glutes, Abductors,BodyOnly,N/A,Expert,No,Static
,Strength,Biceps,0,Barbell,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Stretching,Quadriceps,0,BodyOnly,N/A,Expert,No,N/A
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,E-ZCurlBar,Isolation,Intermediate,No,Push
,Strength,Abdominals, Glutes LowerBack Shoulders,Barbell,Compound,Beginner,No,Pull
,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
,Stretching,Lats,0,FoamRoll,Isolation,Beginner,No,Static
,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Push
,Strength,Quadriceps, Glutes Hamstrings,Machine,Compound,Beginner,No,Pull
,Strength,MiddleBack, Lats,Machine,Compound,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Machine,Compound,Beginner,No,Pull
,Strength,Traps, Forearms,Machine,Isolation,Beginner,No,Pull
,Plyometrics,Hamstrings, Calves Glutes Quadriceps,None,Compound,Beginner,Both,No
,Strongman,Shoulders, Abdominals Chest Glutes Hamstrings LowerBack MiddleBack Quadriceps Traps Triceps,Other,Compound,Intermediate,Yes,Push
,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Stretching,Abdominals,0,BodyOnly,N/A,Beginner,No,Static
,Strength,Hamstrings, Calves Glutes Quadriceps,Kettlebells,Compound,Intermediate,No,Push
,Stretching,Adductors,0,Other,N/A,Expert,No,Static
,Strength,MiddleBack, Biceps Lats Traps,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Barbell,Isolation,Intermediate,No,Push
,Stretching,Abductors,0,BodyOnly,N/A,Expert,No,Static
,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
,Stretching,Glutes, Abductors,BodyOnly,N/A,Expert,No,Static
,Strength,Biceps,0,Barbell,Isolation,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Stretching,Quadriceps,0,BodyOnly,N/A,Expert,No,N/A
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,E-ZCurlBar,Isolation,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
,Strength,Biceps,0,Machine,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Machine,Isolation,Beginner,No,Push
,Plyometrics,Abdominals, Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,MiddleBack,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Other,Compound,Expert,No,Pull
,Plyometrics,Quadriceps, Chest Hamstrings Shoulders,None,Compound,Beginner,No,Pull
,OlympicWeightlifting,Hamstrings, Glutes LowerBack Quadriceps Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
,Strength,Biceps,0,Machine,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Machine,Isolation,Beginner,No,Push
,Plyometrics,Abdominals, Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,MiddleBack,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Other,Compound,Expert,No,Pull
,Plyometrics,Quadriceps, Chest Hamstrings Shoulders,None,Compound,Beginner,No,Pull
,OlympicWeightlifting,Hamstrings, Glutes LowerBack Quadriceps Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,Yes,Push
,Stretching,Quadriceps,0,Other,Isolation,Beginner,No,Static
,Strength,MiddleBack, Biceps Forearms Lats,Other,Compound,Expert,No,Pull
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Lats, Biceps,Other,N/A,Beginner,No,Static
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Strength,Chest,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Shoulders, Glutes Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Hamstrings, Calves Glutes LowerBack Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Abdominals, Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Glutes LowerBack Quadriceps Shoulders,Kettlebells,Compound,Expert,No,Pull
,Strength,Biceps,0,Cable,Isolation,Intermediate,No,Pull
,Plyometrics,Lats,0,MedicineBall,Compound,Beginner,No,Pull
,Stretching,Abdominals, Chest Forearms Lats Triceps,None,Compound,Beginner,No,Static
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,Yes,Push
,Stretching,Quadriceps,0,Other,Isolation,Beginner,No,Static
,Strength,MiddleBack, Biceps Forearms Lats,Other,Compound,Expert,No,Pull
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Lats, Biceps,Other,N/A,Beginner,No,Static
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
,Strength,Chest,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,MiddleBack, Biceps Lats,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Shoulders, Glutes Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
,Strength,Hamstrings, Calves Glutes LowerBack Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Strength,Abdominals, Lats Shoulders,MedicineBall,Compound,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Glutes LowerBack Quadriceps Shoulders,Kettlebells,Compound,Expert,No,Pull
,Strength,Biceps,0,Cable,Isolation,Intermediate,No,Pull
,Plyometrics,Lats,0,MedicineBall,Compound,Beginner,No,Pull
,Stretching,Abdominals, Chest Forearms Lats Triceps,None,Compound,Beginner,No,Static
,Strength,Abdominals, Chest Shoulders Triceps,Cable,Compound,Beginner,No,Pull
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
,Stretching,LowerBack,0,None,Compound,Intermediate,No,Static
,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Forearms,0,Other,Isolation,Intermediate,No,Static
,Strength,Hamstrings, Glutes,Other,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Expert,No,Push
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,OlympicWeightlifting,Hamstrings, Quadriceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Abdominals, Chest Shoulders Triceps,Barbell,Compound,Expert,No,Push
,Cardio,Hamstrings, Calves Chest Glutes Quadriceps Shoulders,Other,Compound,Beginner,No,Push
,Strength,Lats, Biceps MiddleBack,BodyOnly,Compound,Beginner,No,Pull
,OlympicWeightlifting,Shoulders, Calves Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,N/A
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Stretching,LowerBack, Shoulders,ExerciseBall,N/A,Beginner,No,Static
,Strength,Abdominals, Chest Shoulders Triceps,Cable,Compound,Beginner,No,Pull
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
,Stretching,LowerBack,0,None,Compound,Intermediate,No,Static
,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Static
,Strength,Forearms,0,Other,Isolation,Intermediate,No,Static
,Strength,Hamstrings, Glutes,Other,Isolation,Beginner,No,Pull
,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Expert,No,Push
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,OlympicWeightlifting,Hamstrings, Quadriceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Biceps,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Abdominals, Chest Shoulders Triceps,Barbell,Compound,Expert,No,Push
,Cardio,Hamstrings, Calves Chest Glutes Quadriceps Shoulders,Other,Compound,Beginner,No,Push
,Strength,Lats, Biceps MiddleBack,BodyOnly,Compound,Beginner,No,Pull
,OlympicWeightlifting,Shoulders, Calves Quadriceps Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,N/A
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
,Stretching,LowerBack, Shoulders,ExerciseBall,N/A,Beginner,No,Static
,Stretching,Quadriceps,0,Other,N/A,Intermediate,No,Static
,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
,Stretching,Quadriceps,0,Other,N/A,Intermediate,No,Static
,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
,OlympicWeightlifting,Shoulders, Forearms Traps,Barbell,Compound,Intermediate,No,Pull
,Powerlifting,LowerBack, Forearms Glutes Hamstrings Traps,Barbell,Compound,Intermediate,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
,Powerlifting,LowerBack, Abductors Adductors Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Expert,No,Pull
,Powerlifting,Hamstrings, Abductors Adductors Calves Forearms Glutes LowerBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Machine,Isolation,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Strongman,Forearms, Abdominals Calves Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
,Strength,Triceps, Chest Shoulders,Other,Compound,Intermediate,No,Push
,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Calves Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
,Cardio,Quadriceps, Calves Hamstrings,Other,N/A,Intermediate,Both,No
,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
,Strength,Abdominals, LowerBack,BodyOnly,Compound,Intermediate,No,Pull
,OlympicWeightlifting,Shoulders, Forearms Traps,Barbell,Compound,Intermediate,No,Pull
,Powerlifting,LowerBack, Forearms Glutes Hamstrings Traps,Barbell,Compound,Intermediate,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Powerlifting,Triceps, Chest Forearms Lats MiddleBack Shoulders,Barbell,Compound,Intermediate,No,Push
,Powerlifting,LowerBack, Abductors Adductors Calves Glutes Hamstrings Quadriceps,Barbell,Compound,Expert,No,Pull
,Powerlifting,Hamstrings, Abductors Adductors Calves Forearms Glutes LowerBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
,Strength,Biceps, Forearms,E-ZCurlBar,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
,Strength,Shoulders,0,Machine,Isolation,Beginner,No,Pull
,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
,Strongman,Forearms, Abdominals Calves Glutes Hamstrings LowerBack Quadriceps Traps,Other,Compound,Intermediate,Yes,N/A
,Strength,Triceps, Chest Shoulders,Other,Compound,Intermediate,No,Push
,Strength,Calves,0,Barbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Calves Glutes LowerBack,Barbell,Compound,Intermediate,No,Pull
,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
,Cardio,Quadriceps, Calves Hamstrings,Other,N/A,Intermediate,Both,No
,Stretching,Shoulders, Biceps Chest,Other,N/A,Beginner,No,Static
,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
,Strength,Abdominals, LowerBack,BodyOnly,Compound,Intermediate,No,Pull
,Strongman,Quadriceps, Abdominals Biceps Calves Forearms Glutes Hamstrings LowerBack MiddleBack Shoulders Traps,Other,Compound,Beginner,Yes,Pull
,Stretching,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Hamstrings,0,Other,Isolation,Beginner,No,Pull
,Strength,Abdominals,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Shoulders,0,Dumbbell,Isolation,Intermediate,No,Pull
,Stretching,Biceps, Chest Shoulders,BodyOnly,Isolation,Expert,No,Static
,Strength,Shoulders, Triceps,Cable,Compound,Beginner,No,Push
,Stretching,Calves, Hamstrings LowerBack,None,N/A,Beginner,No,Static
,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Beginner,No,Pull
,Strength,Shoulders, Triceps,Dumbbell,Compound,Beginner,No,Push
,Stretching,Hamstrings, Calves,None,N/A,Beginner,No,Static
,Stretching,Glutes, Adductors,BodyOnly,N/A,Expert,No,Static
,Stretching,Hamstrings, Calves,None,N/A,Expert,No,Static
,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
,Stretching,Abdominals,0,None,Isolation,Beginner,No,Static
,Strength,Forearms,0,Barbell,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Shoulders, Abdominals Triceps,Dumbbell,Compound,Intermediate,No,Push
,Stretching,Shoulders, Traps,None,N/A,Beginner,No,Pull
,Stretching,Shoulders, Lats,None,N/A,Beginner,No,Pull
,Strength,Abdominals, Shoulders,BodyOnly,N/A,Beginner,No,Static
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Strength,Shoulders, Traps,Dumbbell,Isolation,Beginner,No,Push
,Stretching,Adductors, Hamstrings,None,Isolation,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
,Strength,Lats, Biceps Forearms MiddleBack Shoulders,Other,Compound,Intermediate,No,Pull
,Stretching,Lats,0,None,N/A,Beginner,No,Static
,Plyometrics,Quadriceps, Calves Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Plyometrics,Quadriceps, Calves Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Other,N/A,Beginner,No,Push
,Plyometrics,Quadriceps, Abductors Adductors Calves Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Quadriceps,0,Machine,Isolation,Beginner,No,Push
,Stretching,Quadriceps, Abductors Glutes Hamstrings,None,N/A,Beginner,No,Push
,Cardio,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,N/A,Intermediate,No,N/A
,Strength,Shoulders, Calves MiddleBack Quadriceps,Other,Compound,Beginner,No,Pull
,Strongman,Quadriceps, Calves Chest Glutes Hamstrings Triceps,Other,Compound,Beginner,No,Push
,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
,Strength,Shoulders, Chest,Barbell,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,Push
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders Triceps,Machine,Compound,Beginner,No,N/A
,Strength,Abdominals,0,Machine,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
,Strength,Shoulders, Triceps,Machine,Compound,Beginner,No,Push
,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Machine,Compound,Beginner,No,Push
,Strength,Traps, Biceps MiddleBack Shoulders,Machine,Compound,Beginner,No,Pull
